url,id,make,model,price,year,type,status,mileage,trim,scraped_at,address,city,state,zip,mpg_city,mpg_hwy,cylinders_count,engine,horsepower,torque,fuel_type,drivetrain,color,transmission,doors,seats,vin,stock_number,curb_weight,msrp,displacement,transmission_type,depreciation_rate,mpg_combined
https://www.carvana.com/vehicle/1899242,1899242,Kia,Soul,15990,2015,Wagon,Available,87200,! Wagon 4D,2021-10-09 13:34:52,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,23.0,31.0,4.0,"4-Cyl, 2.0 Liter",164.0,151.0,Gas,FWD,Blue,"Auto, 6-Spd Sportmatic",4,5,KNDJX3A58F7215332,2001163635,2837.0,21615,2.0,automatic,-4.899630577836522,26.021897810218977
https://www.carvana.com/vehicle/2003994,2003994,Nissan,Altima,16990,2015,Sedan,Available,64689,2.5 S Sedan 4D,2021-10-09 13:34:56,63 Pierce Rd,Winder,GA,30680,27.0,38.0,4.0,"4-Cyl, 2.5 Liter",,,Gas,FWD,Red,"Automatic, Xtronic CVT",4,5,1N4AL3AP3FC492397,2001279717,3193.0,23370,2.5,automatic,-5.175088857117805,31.043872919818455
https://www.carvana.com/vehicle/1939045,1939045,Kia,Forte,17590,2018,Sedan,Available,29783,LX Sedan 4D,2021-10-09 13:34:57,1951 Morgan Rd,Bessemer,AL,35022,29.0,37.0,4.0,"4-Cyl, 2.0 Liter",147.0,132.0,Gas,FWD,Blue,"Automatic, 6-Spd w/Sportmatic",4,5,3KPFK4A75JE175859,2001204203,2928.0,18045,2.0,automatic,-0.8476562738017002,32.12574850299401
https://www.carvana.com/vehicle/1827777,1827777,Chevrolet,Malibu,19990,2016,Sedan,Available,56288,LT Sedan 4D,2021-10-09 13:34:59,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,27.0,37.0,4.0,"4-Cyl, Turbo, 1.5 Liter",,,Gas,FWD,White,"Automatic, 6-Spd",4,5,1G1ZE5ST4GF193492,2001032582,3126.0,26220,,automatic,-5.281236193285754,30.738461538461536
https://www.carvana.com/vehicle/1873437,1873437,Nissan,Sentra,17990,2018,Sedan,Available,50039,SV Sedan 4D,2021-10-09 13:35:01,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,29.0,37.0,4.0,"4-Cyl, 1.8 Liter",,,Gas,FWD,Black,"Auto, CVT w/Xtronic",4,5,3N1AB7AP8JL663066,2001119824,2880.0,19980,,automatic,-3.4367457978978555,32.12574850299401
https://www.carvana.com/vehicle/1993938,1993938,Mini,Countryman,21590,2016,Hatchback,Available,49400,Cooper S ALL4 Hatchback 4D,2021-10-09 13:35:04,1951 Morgan Rd,Bessemer,AL,35022,23.0,30.0,4.0,"4-Cyl, Turbo, 1.6 Liter",181.0,177.0,Gas,AWD,Silver,"Auto, 6-Spd Steptronic",4,5,WMWZC5C55GWU20005,2001281167,3208.0,31950,1.6,automatic,-7.539474810115365,25.69832402234637
https://www.carvana.com/vehicle/1952473,1952473,Chrysler,300,22990,2016,Sedan,Available,37856,300 Limited Sedan 4D,2021-10-09 13:35:07,1420 Toshiba Dr,Lebanon,TN,37087,19.0,31.0,6.0,"V6, 3.6 Liter",292.0,260.0,Gas,RWD,Gray,"Automatic, 8-Spd",4,5,2C3CCAAG5GH194508,2001188290,3992.0,33010,3.6,automatic,-6.979495758222987,23.0078125
https://www.carvana.com/vehicle/1836570,1836570,Toyota,Corolla,20990,2020,Sedan,Available,43418,LE Sedan 4D,2021-10-09 13:35:10,63 Pierce Rd,Winder,GA,30680,30.0,38.0,4.0,"4-Cyl, 1.8 Liter",,,Gas,FWD,Silver,"Automatic, CVTi-S",4,5,JTDEPRAE9LJ038258,2001040881,2955.0,20905,,automatic,0.4066012915570516,33.13953488372093
https://www.carvana.com/vehicle/2003592,2003592,Kia,Rio,20990,2020,Sedan,Available,18548,LX Sedan 4D,2021-10-09 13:35:12,63 Pierce Rd,Winder,GA,30680,33.0,41.0,4.0,"4-Cyl, 1.6 Liter",120.0,112.0,Gas,FWD,Black,"Automatic, IVT",4,5,3KPA24AD8LE328138,2001293402,,16815,1.6,automatic,24.829021706809407,36.1764705882353
https://www.carvana.com/vehicle/1909954,1909954,Ford,Fusion,16990,2016,Sedan,Available,61174,S Sedan 4D,2021-10-09 13:35:15,1925 Concord Pkwy S,Concord,NC,28027,22.0,34.0,4.0,"4-Cyl, 2.5 Liter",,,Gas,FWD,Silver,"Auto, 6-Spd SelectShift",4,5,3FA6P0G77GR237853,2001119819,3431.0,23135,,automatic,-5.987678952572151,26.153846153846153
