url,id,make,model,price,year,type,status,mileage,trim,scraped_at,address,city,state,zip,mpg_city,mpg_hwy,cylinders_count,engine,horsepower,torque,fuel_type,drivetrain,color,transmission,doors,seats,vin,stock_number,curb_weight,msrp,displacement
https://www.carvana.com/vehicle/1993916,1993916,Kia,Soul,16590,2013,Wagon,Available,55925,! Wagon 4D,2021-10-09 13:26:39,1951 Morgan Rd,Bessemer,AL,35022,23.0,28.0,4.0,"4-Cyl, 2.0 Liter",164.0,148.0,Gas,FWD,Silver,"Automatic, 6-Spd",4,5,KNDJT2A69D7772794,2001249679,2778.0,20675,2.0
https://www.carvana.com/vehicle/2010056,2010056,Volkswagen,Jetta,23990,2017,Sedan,Available,44380,2.0T GLI Sedan 4D,2021-10-09 13:26:40,1420 Toshiba Dr,Lebanon,TN,37087,24.0,33.0,4.0,"4-Cyl, Turbo, 2.0 Liter",,,Gas,FWD,Red,Auto 6-Spd DSG Tptrnc Spt,4,5,3VW4T7AJ6HM391671,2001300076,3194.0,29815,
https://www.carvana.com/vehicle/1993271,1993271,Dodge,Journey,23990,2019,SUV,Available,30198,SE Sport Utility 4D,2021-10-09 13:26:43,1420 Toshiba Dr,Lebanon,TN,37087,17.0,25.0,6.0,"V6, 3.6 Liter",283.0,260.0,Gas,FWD,Red,"Automatic, 6-Spd w/AutoStick",4,7,3C4PDCBG4KT804855,2001244926,3818.0,24890,3.6
https://www.carvana.com/vehicle/1978524,1978524,Chevrolet,Equinox,21990,2018,SUV,Available,37547,LS Sport Utility 4D,2021-10-09 13:26:45,63 Pierce Rd,Winder,GA,30680,26.0,32.0,4.0,"4-Cyl, Turbo, 1.5 Liter",,,Gas,FWD,Orange,"Automatic, 6-Spd w/Overdrive",4,5,2GNAXHEV6J6177249,2001220676,3274.0,26455,
https://www.carvana.com/vehicle/2038456,2038456,Volkswagen,Passat,21590,2017,Sedan,Available,31016,1.8T R-Line Sedan 4D,2021-10-09 13:26:47,1925 Concord Pkwy S,Concord,NC,28027,23.0,34.0,4.0,"4-Cyl, Turbo, 1.8 Liter",170.0,184.0,Gas,FWD,Black,"Auto, 6-Spd Tiptronic Spt",4,5,1VWDT7A30HC083429,2001312592,3263.0,25120,1.8
https://www.carvana.com/vehicle/1993905,1993905,Acura,ILX,23590,2017,Sedan,Available,28180,Sedan 4D,2021-10-09 13:26:50,63 Pierce Rd,Winder,GA,30680,25.0,35.0,4.0,"4-Cyl, i-VTEC, 2.4 Liter",201.0,180.0,Gas,FWD,Silver,"Auto, 8-Spd DCT SptShft",4,5,19UDE2F32HA013713,2001273744,3093.0,28955,2.4
https://www.carvana.com/vehicle/2038510,2038510,Ford,Fusion,21990,2016,Sedan,Available,23293,Titanium Sedan 4D,2021-10-09 13:26:54,1951 Morgan Rd,Bessemer,AL,35022,22.0,33.0,4.0,"4-Cyl, EcoBoost, 2.0T",240.0,270.0,Gas,FWD,Blue,"Auto, 6-Spd SelectShift",4,5,3FA6P0K97GR302063,2001316690,3526.0,32450,2.0
https://www.carvana.com/vehicle/1935555,1935555,Ford,Edge,21990,2017,SUV,Available,42122,SE Sport Utility 4D,2021-10-09 13:26:55,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,21.0,29.0,4.0,"4-Cyl, EcoBoost, 2.0L",,,Gas,FWD,Gold,"Auto, 6-Spd SelShft",4,5,2FMPK3G9XHBB97957,2001056532,3927.0,29845,
https://www.carvana.com/vehicle/1888697,1888697,Lexus,GS,23990,2013,Sedan,Available,78028,GS 350 Sedan 4D,2021-10-09 13:26:58,1925 Concord Pkwy S,Concord,NC,28027,19.0,26.0,6.0,"V6, 3.5 Liter",,,Gas,AWD,White,"Automatic, 6-Spd",4,5,JTHCE1BL8D5004641,2001134802,3795.0,51795,
https://www.carvana.com/vehicle/2038401,2038401,Scion,xB,18990,2014,Hatchback,Available,15179,Hatchback 4D,2021-10-09 13:27:00,1951 Morgan Rd,Bessemer,AL,35022,22.0,28.0,4.0,"4-Cyl, 2.4 Liter",158.0,162.0,Gas,FWD,Silver,"Automatic, 4-Spd",4,5,JTLZE4FE7EJ055473,2001319533,3084.0,21309,2.4
https://www.carvana.com/vehicle/2003946,2003946,Toyota,Camry,24990,2019,Sedan,Available,16102,LE Sedan 4D,2021-10-09 13:27:04,1951 Morgan Rd,Bessemer,AL,35022,28.0,39.0,4.0,"4-Cyl, 2.5 Liter",,,Gas,FWD,Blue,"Automatic, 8-Spd w/Sequential Shift",4,5,4T1B11HK3KU299623,2001294318,3296.0,25555,2.5
https://www.carvana.com/vehicle/1864519,1864519,Toyota,Corolla,19990,2018,Sedan,Available,38565,SE Sedan 4D,2021-10-09 13:27:05,63 Pierce Rd,Winder,GA,30680,28.0,36.0,4.0,"4-Cyl, 1.8 Liter",132.0,128.0,Gas,FWD,Silver,"Automatic, CVTi-S",4,5,2T1BURHE5JC018714,2001108788,2865.0,21465,1.8
https://www.carvana.com/vehicle/1959035,1959035,Nissan,Kicks,21990,2018,SUV,Available,22475,SV Sport Utility 4D,2021-10-09 13:27:08,63 Pierce Rd,Winder,GA,30680,31.0,36.0,4.0,"4-Cyl, 1.6 Liter",125.0,115.0,Gas,FWD,Orange,"Auto, CVT Xtronic",4,5,3N1CP5CU4JL545176,2001231179,,20735,1.6
https://www.carvana.com/vehicle/1887861,1887861,Mitsubishi,Mirage,14990,2019,Hatchback,Available,40646,ES Hatchback 4D,2021-10-09 13:27:11,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,33.0,41.0,3.0,"3-Cyl, 1.2 Liter",78.0,74.0,Gas,FWD,White,"Manual, 5-Spd",4,5,ML32A3HJ7KH004204,2001144289,2018.0,14925,1.2
https://www.carvana.com/vehicle/1994511,1994511,Ford,Focus,16990,2016,Sedan,Available,16510,SE Sedan 4D,2021-10-09 13:27:13,1951 Morgan Rd,Bessemer,AL,35022,26.0,38.0,4.0,"4-Cyl, Flex Fuel, 2.0L",160.0,146.0,FlexFuel,FWD,Red,"Auto, 6-Spd Power/Select",4,5,1FADP3F21GL207955,2001270637,2960.0,20935,2.0
https://www.carvana.com/vehicle/2027756,2027756,Ford,Focus,20590,2018,Sedan,Available,13966,SE Sedan 4D,2021-10-09 13:27:16,63 Pierce Rd,Winder,GA,30680,26.0,38.0,4.0,"4-Cyl, 2.0 Liter",160.0,146.0,Gas,FWD,Gray,"Auto, 6-Spd Powershift",4,5,1FADP3F20JL201068,2001291945,2960.0,21660,2.0
https://www.carvana.com/vehicle/1974558,1974558,Toyota,Corolla Hatchback,21990,2019,Hatchback,Available,27556,SE Hatchback 4D,2021-10-09 13:27:18,1951 Morgan Rd,Bessemer,AL,35022,28.0,37.0,4.0,"4-Cyl, Dynamic-Force, 2.0 Liter",168.0,151.0,Gas,FWD,Silver,"Manual, 6-Spd",4,5,JTNK4RBE6K3052921,2001256983,3060.0,22195,2.0
https://www.carvana.com/vehicle/2004932,2004932,Mazda,MAZDA3,21990,2018,Sedan,Available,34012,Touring Sedan 4D,2021-10-09 13:27:20,1925 Concord Pkwy S,Concord,NC,28027,27.0,36.0,4.0,"4-Cyl, SKYACTIV-G, 2.5L",184.0,185.0,Gas,FWD,Blue,"Auto, 6-Spd SKYACTIV-Drv",4,5,3MZBN1V38JM219755,2001268968,3100.0,22015,2.5
https://www.carvana.com/vehicle/2001300,2001300,Kia,Rio,21990,2020,Sedan,Available,4709,LX Sedan 4D,2021-10-09 13:27:22,1951 Morgan Rd,Bessemer,AL,35022,33.0,41.0,4.0,"4-Cyl, 1.6 Liter",120.0,112.0,Gas,FWD,White,"Automatic, IVT",4,5,3KPA24ADXLE315181,2001280712,,16815,1.6
https://www.carvana.com/vehicle/1993834,1993834,Jeep,Grand Cherokee,24590,2015,SUV,Available,64391,Limited Sport Utility 4D,2021-10-09 13:27:24,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,17.0,25.0,6.0,"V6, Flex Fuel, 3.6 Liter",,,FlexFuel,2WD,White,"Automatic, 8-Spd",4,5,1C4RJEBG9FC841172,2001277938,4875.0,41155,3.6
https://www.carvana.com/vehicle/1974281,1974281,Hyundai,Sonata,17990,2013,Sedan,Available,42737,Limited Sedan 4D,2021-10-09 13:27:27,63 Pierce Rd,Winder,GA,30680,24.0,35.0,4.0,"4-Cyl, 2.4 Liter",,,Gas,FWD,Silver,"Auto, 6-Spd wShiftronic & Active ECO System",4,5,5NPEC4AC0DH680505,2001242718,3316.0,26620,2.4
https://www.carvana.com/vehicle/1967186,1967186,Hyundai,Elantra,19990,2019,Sedan,Available,20322,SEL Sedan 4D,2021-10-09 13:27:29,1925 Concord Pkwy S,Concord,NC,28027,28.0,37.0,4.0,"4-Cyl, 2.0 Liter",147.0,132.0,Gas,FWD,Silver,"Automatic, 6-Spd w/Shiftronic",4,5,5NPD84LFXKH461407,2001245101,2844.0,20430,2.0
https://www.carvana.com/vehicle/2003964,2003964,Toyota,Camry,21990,2018,Sedan,Available,69531,LE Sedan 4D,2021-10-09 13:27:31,1925 Concord Pkwy S,Concord,NC,28027,28.0,39.0,4.0,"4-Cyl, 2.5 Liter",203.0,184.0,Gas,FWD,Gray,"Auto, 8-Spd SeqShft",4,5,4T1B11HK3JU071586,2001294611,3296.0,25070,2.5
https://www.carvana.com/vehicle/2035395,2035395,Kia,Optima,23990,2018,Sedan,Available,6845,LX Sedan 4D,2021-10-09 13:28:37,1951 Morgan Rd,Bessemer,AL,35022,24.0,34.0,4.0,"4-Cyl, 2.4 Liter",185.0,178.0,Gas,FWD,White,"Auto, 6-Spd Sportmatic",4,5,5XXGT4L33JG244504,2001323056,3219.0,23495,2.4
https://www.carvana.com/vehicle/2000350,2000350,Chrysler,300,17990,2014,Sedan,Available,71364,300 Sedan 4D,2021-10-09 13:28:40,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,19.0,31.0,6.0,"V6, 3.6 Liter",,,Gas,RWD,Gray,"Automatic, 8-Spd",4,5,2C3CCAAG1EH357149,2001291217,3999.0,32365,3.6
https://www.carvana.com/vehicle/2000955,2000955,Volkswagen,Beetle,17590,2013,Hatchback,Available,54742,Turbo Hatchback 2D,2021-10-09 13:28:42,63 Pierce Rd,Winder,GA,30680,21.0,30.0,4.0,"4-Cyl, PZEV, 2.0T",200.0,207.0,Gas,FWD,Black,"Manual, 6-Spd",2,4,3VW4A7AT3DM608675,2001271470,3042.0,25165,2.0
https://www.carvana.com/vehicle/1925751,1925751,Mitsubishi,Mirage G4,17590,2020,Sedan,Available,6827,ES Sedan 4D,2021-10-09 13:28:43,1925 Concord Pkwy S,Concord,NC,28027,35.0,41.0,3.0,"3-Cyl, 1.2 Liter",78.0,74.0,Gas,FWD,Red,"Automatic, CVT",4,5,ML32F3FJ0LHF00227,2001196591,2117.0,16135,1.2
https://www.carvana.com/vehicle/1856300,1856300,Jeep,Renegade,22590,2018,SUV,Available,26947,Altitude Sport Utility 4D,2021-10-09 13:28:47,1951 Morgan Rd,Bessemer,AL,35022,,,4.0,"4-Cyl, MultiAir, 2.4L",,,Gas,2WD,Silver,"Automatic, 9-Spd",4,5,ZACCJABB7JPJ40389,2001104718,3210.0,26665,
https://www.carvana.com/vehicle/1993784,1993784,Mitsubishi,Outlander Sport,19990,2019,SUV,Available,38114,ES Sport Utility 4D,2021-10-09 13:28:48,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,24.0,30.0,4.0,"4-Cyl, 2.0 Liter",,,Gas,2WD,White,"Automatic, CVT w/Sportronic",4,5,JA4AP3AU2KU005855,2001236662,3109.0,23935,
https://www.carvana.com/vehicle/1994037,1994037,Nissan,Sentra,20990,2019,Sedan,Available,21585,SV Sedan 4D,2021-10-09 13:28:51,63 Pierce Rd,Winder,GA,30680,29.0,37.0,4.0,"4-Cyl, 1.8 Liter",124.0,125.0,Gas,FWD,Black,"Automatic, CVT w/Xtronic",4,5,3N1AB7AP3KY213118,2001277548,2895.0,20115,1.8
https://www.carvana.com/vehicle/1993766,1993766,Gmc,Acadia,19990,2014,SUV,Available,85789,SLE-2 Sport Utility 4D,2021-10-09 13:28:54,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,16.0,23.0,6.0,"V6, 3.6 Liter",288.0,270.0,Gas,AWD,Silver,"Automatic, 6-Spd",4,8,1GKKVPKD7EJ140720,2001278594,4656.0,37510,3.6
